business_id,name,city,stars
cPWbolWE6ip5SupmfH-nBQ,Godfathers Pizza,Las Vegas,1.0
rj5YbrxqvfOVgcrgz98-Nw,McDonalds,Las Vegas,1.0
jtQqg_96doTihYzLCC3x3A,Carl's Jr.,Las Vegas,1.0
45IHzSJj49HJn32G3j6H_A,Wienerschnitzel,Las Vegas,1.0
i8K4qY1VA13eWRQ_zbmuTw,KFC,Las Vegas,1.0
FmjU2ZrFQGP7ecy7ZAt3Lw,Big Daddy's Barbecue,Las Vegas,1.0
rRsU3_jGvvyky4iIkoM2Ag,US Foodservice,North Las Vegas,1.0
MmG-PpE0DZa6M04ejbUSLw,Jody Maroni's,Las Vegas,1.0
YHN7wVaOFp9wkl_w7NXLXw,Kens Burgers and Pizza,Las Vegas,1.0
M7ZuMAutAtvplANHiOz_ug,Subway,Las Vegas,1.0
8VCyDz3DHrlo5TFt8T1x6Q,Lady D's Pizzeria,Las Vegas,1.0
nz9_UOd2ZVuUhVYqA1FJEQ,Papa John's Pizza,Las Vegas,1.0
W3h2jT0S-0986_B-ETFKmA,Del Taco,Las Vegas,1.0
ta8x5JgBJnKaDWfYvpEYnw,Manchu Wok,Las Vegas,1.0
F7mv0e3N2DgYY93cl8LpZw,Wendy's,Las Vegas,1.0
Rn9qbnfATRvV1EFHbnnwTA,Burger King,North Las Vegas,1.0
S0yP4IZmwVpeqxSe0R2Fvw,Subway,Las Vegas,1.0
ShjFb17vA_o8W3YjzvS7qg,Bourbon Street,North Las Vegas,1.0
sd7Ci7gTC6Ia1cAIPcmDGw,McDonald's,Las Vegas,1.0
Uw4z3M7H4buYtTGBrzFCSg,McDonald's,Las Vegas,1.0
sghGLUOAC_WGEWmv-mZReQ,Burger King,Las Vegas,1.0
8KlImDp5zaxdbtjV6_El7Q,Taco Bell,North Las Vegas,1.0
rvxpYoiNldD6R9kwXoC7Rg,Sbarro,Las Vegas,1.0
Mbcjfix9W-7SJXG25q5CPw,Soho Pizza Bar,Las Vegas,1.0
qqJkYCUIzGvmtOVtnxznfw,Pizza Hut,Las Vegas,1.0
jtiywR7x0duLUzOkIqxeqg,Body Sushi Catering,Las Vegas,1.0
OcNrTDq17-pqNCylCeTGIA,Little Caesars Pizza,Las Vegas,1.0
zLdqJBlLgGN-EI_TzUXWNQ,Lin Buffet,Las Vegas,1.0
